Time delay (ns),Supergaussian Order,Diameter of capsule (um),Error on the diameter of the capsule (um)
0.2,8,423.510725,13.874528
0.4,6,425.084661,12.891154
0.6,6,412.005427,19.068138
0.8,6,390.873941,15.731125
1,2,432.103231,41.062503
1.2,2,409.165348,51.423573
1.4,2,349.157158,28.10444
1.6,2,288.749204,10.439761
1.8,4,195.525931,47.56036
2,8,349.959349,47.942451
