Distance_(pixels),Gray_Value
0,28524.896
1,28501.824
2,28391.682
3,28523.512
4,28761.943
5,29109.553
6,29382.502
7,29349.986
8,29352.061
9,29421.928
10,29413.371
11,29367.58
12,29353.32
13,29311.496
14,29321.994
15,29449.18
16,29470.07
17,29409.275
18,29425.115
19,29268.252
20,29067.756
21,29092.918
22,29048.977
23,28741.418
24,28559.035
25,28450.256
26,28441.902
27,28415.988
28,28397.764
29,28428.355
30,28318.389
