time/ns	dene
1.300	3.149307e+23
1.310	3.180179e+23
1.320	3.2126024e+23
1.330	3.2505962e+23
1.340	3.2905042e+23
1.350	3.332272e+23
1.360	3.379066e+23
1.370	3.440179e+23
1.380	3.500527e+23
1.390	3.558995e+23
1.400	3.6248302e+23
1.410	3.692648e+23
1.420	3.764061e+23
1.430	3.8405912e+23
1.440	3.9202761e+23
1.450	4.005921e+23
1.460	4.0945942e+23
1.470	4.1850002e+23
1.480	4.2843171e+23
1.490	4.394527e+23
1.500	4.502656e+23
1.510	4.614723e+23
1.520	4.7432732e+23
1.530	4.8881292e+23
1.540	5.090652e+23
1.550	5.334271e+23
1.560	5.6439654e+23
1.570	6.0086021e+23
1.580	6.3729941e+23
1.590	6.843937e+23
1.601	7.461522e+23
1.610	8.0893202e+23
1.620	8.933112e+23
1.630	9.932894e+23
1.641	1.126786e+24
1.650	1.259843e+24
1.660	1.4071373e+24
1.670	1.5556601e+24
1.680	1.732503e+24
1.690	1.866108e+24
1.700	1.94903e+24
1.710	2.08115e+24
1.720	2.182761e+24
1.730	2.412339e+24
1.740	2.541304e+24
1.750	2.7645812e+24
1.760	2.8741243e+24
1.770	3.042093e+24
1.780	3.054406e+24
1.790	3.1934821e+24
1.800	3.29057e+24
1.810	3.292949e+24
1.820	3.284244e+24
1.830	3.286684e+24
1.840	3.2954693e+24
1.850	3.298045e+24
1.860	3.2731213e+24
1.870	3.2145962e+24
1.880	3.2169204e+24
1.890	3.201263e+24
1.900	3.1680991e+24
1.910	3.116929e+24
1.920	3.047465e+24
1.930	2.968584e+24
1.940	2.870111e+24
1.950	2.7738144e+24
1.960	2.675051e+24
1.970	2.582229e+24
1.980	2.483112e+24
1.990	2.3748123e+24
2.000	2.2692182e+24
2.010	2.157666e+24
2.020	2.0427933e+24
2.030	1.9396153e+24
2.040	1.836287e+24
2.050	1.733444e+24
2.061	1.6323484e+24
2.070	1.5456172e+24
2.081	1.459835e+24
2.090	1.3871553e+24
2.100	1.303791e+24
2.110	1.2337823e+24
2.120	1.165704e+24
2.130	1.099421e+24
2.140	1.034573e+24
2.151	9.711729e+23
2.161	9.19654e+23
2.171	8.6925244e+23
2.181	8.198481e+23
2.190	7.81294e+23
2.201	7.344936e+23
2.210	6.9875171e+23
2.222	6.548559e+23
2.232	6.2179304e+23
2.242	5.8860443e+23
2.252	5.57089e+23
2.260	5.3369453e+23
2.271	5.040506e+23
2.280	4.82011e+23
2.291	4.543254e+23
2.300	4.335993e+23
2.310	4.1444663e+23
2.322	3.8842314e+23
2.332	3.7066411e+23
2.342	3.522396e+23
2.352	3.3543451e+23
2.363	3.186664e+23
2.370	3.075159e+23
2.382	2.923875e+23
2.393	2.7675664e+23
2.401	2.6691491e+23
2.413	2.53212e+23
2.422	2.4355592e+23
2.430	2.344411e+23
2.444	2.220239e+23
2.453	2.132436e+23
2.462	2.048468e+23
2.472	1.9736212e+23
2.482	1.899174e+23
2.492	1.8346e+23
2.5	1.784309e+23
